country,year,month,day_of_week,time_of_day,urban_rural,road_type,weather_conditions,visibility_level,number_of_vehicles_involved,speed_limit,driver_age_group,driver_gender,driver_alcohol_level,driver_fatigue,vehicle_condition,pedestrians_involved,cyclists_involved,severity,number_of_injuries,number_of_fatalities,emergency_response_time,traffic_volume,road_condition,accident_cause,insurance_claims,medical_cost,economic_loss,region,population_density,city,weather_condition,temperature_f,visibility_mi,categoria_visibilidad,categoria_temperatura
USA,2002,October,Tuesday,Evening,Rural,Street,Windy,220.4146505416504,1,37,18-25,Male,0.0519211977366355,0,Poor,1,2,2,8,2,58.62572027989757,7412.752760172099,Wet,Weather,4,40499.85698166296,22072.878501505744,Europe,3866.2730140819913,Bogotá,Nublado,52.10656975289962,0.982867996458243,Muy Baja (0-2 mi),Templada (40-60°F)
UK,2014,December,Saturday,Evening,Urban,Street,Windy,168.31135811140985,3,96,18-25,Female,0.2348934669025476,1,Poor,1,1,2,6,1,58.04137989932781,4458.628819608176,Snow-covered,Mechanical Failure,3,6486.600072710956,9534.39944065122,North America,2333.9162240119367,Cartagena,Lluvia Fuerte,76.698652783849,2.578077475227075,Baja (2-5 mi),Cálida (60-80°F)
USA,2012,July,Sunday,Afternoon,Urban,Highway,Snowy,341.2865059843754,4,62,41-60,Male,0.1423656028392793,0,Moderate,0,0,2,13,4,42.37445240680851,9856.915064331828,Wet,Speeding,4,29164.412981946545,58009.14512447671,South America,4408.889128578951,Medellín,Lluvia Fuerte,82.91104184509702,8.0964413786314,Media (5-10 mi),Muy Cálida (>80°F)
UK,2017,May,Saturday,Evening,Urban,Main Road,Clear,489.384535519872,2,78,18-25,Male,0.1208147716756711,1,Good,2,0,2,6,3,48.55401428514774,4958.646267212246,Icy,Distracted Driving,3,25797.212565621678,20907.151302440983,Australia,2810.822422920365,Cartagena,Neblina,83.30992203106479,7.8280909769348765,Media (5-10 mi),Muy Cálida (>80°F)
Canada,2002,July,Tuesday,Afternoon,Rural,Highway,Rainy,348.34484981036843,1,98,41-60,Male,0.1558415905015216,1,Poor,0,1,2,13,4,18.318249730469923,3843.19146253768,Icy,Distracted Driving,8,15605.293920643368,13584.06075881082,South America,3883.645634473736,Cali,Neblina,73.1195118381122,7.148623979944752,Media (5-10 mi),Cálida (60-80°F)
India,2010,May,Monday,Evening,Urban,Street,Snowy,479.2168336052988,2,30,18-25,Male,0.0840023187146544,1,Moderate,2,2,2,10,4,8.205994095457932,360.9517951930779,Dry,Speeding,7,40980.71816402126,45995.60525220058,South America,3626.074026739447,Barranquilla,Lluvia Fuerte,63.553917732260075,4.647483526527561,Baja (2-5 mi),Cálida (60-80°F)
China,2010,March,Monday,Afternoon,Rural,Street,Foggy,386.1762173083017,3,92,41-60,Male,0.0752929262927642,0,Poor,2,1,2,10,3,17.85166276514563,7607.80470548657,Wet,Weather,9,47248.02023804709,52342.43180596619,Asia,3408.182340583723,Bogotá,Nublado,57.15867164809087,2.554348320097141,Baja (2-5 mi),Templada (40-60°F)
USA,2016,July,Friday,Afternoon,Rural,Main Road,Foggy,75.60868773465776,3,61,26-40,Male,0.0516108625275244,0,Good,1,1,2,6,2,46.74036668244913,6061.407001697918,Dry,Speeding,8,4262.75562065268,70652.22351743939,South America,408.2964527925948,Cali,Neblina,81.1540540910351,9.991661001909744,Media (5-10 mi),Muy Cálida (>80°F)
Japan,2014,August,Thursday,Afternoon,Rural,Highway,Rainy,387.82867548208174,3,106,26-40,Male,0.1597675337717115,1,Poor,1,2,2,4,2,26.54360961740735,3793.8505419606495,Snow-covered,Mechanical Failure,5,37624.775981300496,13724.6309498977,Europe,2058.8982792421093,Bogotá,Lluvia Fuerte,75.40468452879321,4.551337433243013,Baja (2-5 mi),Cálida (60-80°F)
USA,2007,April,Monday,Evening,Urban,Highway,Foggy,443.9654082345454,3,74,18-25,Male,0.0976205287327644,1,Moderate,1,0,2,2,3,44.69335545889247,1140.4293077850557,Snow-covered,Distracted Driving,0,15801.190075812112,61948.862751173176,Australia,1840.206143120973,Barranquilla,Neblina,91.69434652496966,8.213723263935856,Media (5-10 mi),Muy Cálida (>80°F)
Canada,2017,July,Wednesday,Night,Rural,Highway,Foggy,380.96947262785153,1,30,<18,Male,0.0296708336501105,1,Moderate,1,0,2,1,1,16.89917349082605,578.0305755267683,Snow-covered,Distracted Driving,2,14028.798628395782,62926.26259767492,Europe,4706.646449293041,Medellín,Lluvia Fuerte,53.54544290983872,9.814774634823866,Media (5-10 mi),Templada (40-60°F)
USA,2014,September,Wednesday,Evening,Rural,Main Road,Snowy,132.27656240641528,2,68,18-25,Male,0.2275167072102793,1,Good,2,1,2,12,2,44.83845493800452,7656.412730974854,Dry,Weather,7,14081.492864001097,66882.13009237581,Europe,3889.407432419097,Medellín,Nublado,94.62960099045179,4.710152066650175,Baja (2-5 mi),Muy Cálida (>80°F)
UK,2005,January,Tuesday,Afternoon,Urban,Street,Snowy,292.7861996131263,4,31,18-25,Male,0.1072553139600899,1,Good,2,1,2,13,0,22.60907173011268,5974.680150539996,Snow-covered,Drunk Driving,8,33690.17455188998,39727.27700268965,Europe,3765.604944067853,Bogotá,Neblina,81.17769609317986,3.6677237331914903,Baja (2-5 mi),Muy Cálida (>80°F)
Canada,2008,September,Thursday,Evening,Rural,Main Road,Snowy,166.5240590955179,3,112,18-25,Male,0.1084102595950501,1,Good,2,2,2,0,2,54.35761332256385,143.55852675356016,Icy,Drunk Driving,4,37527.81373886766,56080.8851323449,Asia,3269.7775846285867,Medellín,Despejado,56.705752393131235,3.2049763421975666,Baja (2-5 mi),Templada (40-60°F)
Japan,2013,May,Thursday,Afternoon,Rural,Main Road,Foggy,417.3395882316792,3,64,41-60,Male,0.0916752464714165,0,Poor,1,2,2,14,0,12.75041076350445,6592.827686094341,Icy,Drunk Driving,9,14545.79647363726,35265.99072479384,Europe,3454.5731492801838,Barranquilla,Lluvia Leve,89.54517447766068,3.0902764231650326,Baja (2-5 mi),Muy Cálida (>80°F)
UK,2001,August,Thursday,Morning,Rural,Main Road,Snowy,435.4224298065668,3,39,<18,Male,0.0763787025697046,1,Moderate,1,2,2,0,3,39.56761061460363,6379.0546693144015,Icy,Mechanical Failure,8,33720.89149948235,1065.8343711510647,North America,4080.4351836134574,Cartagena,Lluvia Leve,50.539083484132085,4.97102926824652,Baja (2-5 mi),Templada (40-60°F)
USA,2010,October,Monday,Morning,Urban,Main Road,Rainy,264.6276856617341,4,36,41-60,Male,0.0066097106787544,0,Good,0,2,2,18,1,20.341096922313767,6887.7491701856525,Dry,Distracted Driving,9,47749.010710590825,66730.51917346063,South America,2499.356900411556,Cartagena,Despejado,60.55599279406658,8.673145587941434,Media (5-10 mi),Cálida (60-80°F)
UK,2017,August,Saturday,Evening,Urban,Street,Rainy,103.05785419484069,4,92,<18,Female,0.2247649764253346,0,Moderate,1,2,2,4,3,37.53104865958402,4854.72080761277,Snow-covered,Weather,8,5739.553718367226,4088.72764302422,Europe,4146.975610485328,Barranquilla,Despejado,65.15205832116894,6.531372759228453,Media (5-10 mi),Cálida (60-80°F)
