country,year,month,day_of_week,time_of_day,urban_rural,road_type,weather_conditions,visibility_level,number_of_vehicles_involved,speed_limit,driver_age_group,driver_gender,driver_alcohol_level,driver_fatigue,vehicle_condition,pedestrians_involved,cyclists_involved,severity,number_of_injuries,number_of_fatalities,emergency_response_time,traffic_volume,road_condition,accident_cause,insurance_claims,medical_cost,economic_loss,region,population_density,city,weather_condition,temperature_f,visibility_mi,categoria_visibilidad,categoria_temperatura
USA,2002,October,Tuesday,Evening,Rural,Street,Windy,220.4146505416504,1,37,18-25,Male,0.0519211977366355,0,Poor,1,2,2,8,2,58.62572027989757,7412.752760172099,Wet,Weather,4,40499.85698166296,22072.878501505744,Europe,3866.2730140819913,Cali,Neblina,79.73026366915332,4.791719154272923,Baja (2-5 mi),Cálida (60-80°F)
UK,2014,December,Saturday,Evening,Urban,Street,Windy,168.31135811140985,3,96,18-25,Female,0.2348934669025476,1,Poor,1,1,2,6,1,58.04137989932781,4458.628819608176,Snow-covered,Mechanical Failure,3,6486.600072710956,9534.39944065122,North America,2333.9162240119367,Barranquilla,Despejado,60.25430535551208,8.41717233740225,Media (5-10 mi),Cálida (60-80°F)
USA,2012,July,Sunday,Afternoon,Urban,Highway,Snowy,341.2865059843754,4,62,41-60,Male,0.1423656028392793,0,Moderate,0,0,2,13,4,42.37445240680851,9856.915064331828,Wet,Speeding,4,29164.412981946545,58009.14512447671,South America,4408.889128578951,Cali,Despejado,90.02839878211964,5.373592620491966,Media (5-10 mi),Muy Cálida (>80°F)
UK,2017,May,Saturday,Evening,Urban,Main Road,Clear,489.384535519872,2,78,18-25,Male,0.1208147716756711,1,Good,2,0,2,6,3,48.55401428514774,4958.646267212246,Icy,Distracted Driving,3,25797.212565621678,20907.151302440983,Australia,2810.822422920365,Medellín,Lluvia Leve,61.899662565420876,8.757419671123813,Media (5-10 mi),Cálida (60-80°F)
Canada,2002,July,Tuesday,Afternoon,Rural,Highway,Rainy,348.34484981036843,1,98,41-60,Male,0.1558415905015216,1,Poor,0,1,2,13,4,18.318249730469923,3843.19146253768,Icy,Distracted Driving,8,15605.293920643368,13584.06075881082,South America,3883.645634473736,Cartagena,Lluvia Leve,92.34939647909519,2.20875048684288,Baja (2-5 mi),Muy Cálida (>80°F)
India,2010,May,Monday,Evening,Urban,Street,Snowy,479.2168336052988,2,30,18-25,Male,0.0840023187146544,1,Moderate,2,2,2,10,4,8.205994095457932,360.9517951930779,Dry,Speeding,7,40980.71816402126,45995.60525220058,South America,3626.074026739447,Barranquilla,Nublado,53.237886644162145,6.721009451771806,Media (5-10 mi),Templada (40-60°F)
China,2010,March,Monday,Afternoon,Rural,Street,Foggy,386.1762173083017,3,92,41-60,Male,0.0752929262927642,0,Poor,2,1,2,10,3,17.85166276514563,7607.80470548657,Wet,Weather,9,47248.02023804709,52342.43180596619,Asia,3408.182340583723,Barranquilla,Neblina,63.75942470275464,7.469478253669691,Media (5-10 mi),Cálida (60-80°F)
USA,2016,July,Friday,Afternoon,Rural,Main Road,Foggy,75.60868773465776,3,61,26-40,Male,0.0516108625275244,0,Good,1,1,2,6,2,46.74036668244913,6061.407001697918,Dry,Speeding,8,4262.75562065268,70652.22351743939,South America,408.2964527925948,Medellín,Nublado,78.57379984550602,8.868071241783205,Media (5-10 mi),Cálida (60-80°F)
Japan,2014,August,Thursday,Afternoon,Rural,Highway,Rainy,387.82867548208174,3,106,26-40,Male,0.1597675337717115,1,Poor,1,2,2,4,2,26.54360961740735,3793.8505419606495,Snow-covered,Mechanical Failure,5,37624.775981300496,13724.6309498977,Europe,2058.8982792421093,Medellín,Despejado,78.68281992910534,8.979686135840684,Media (5-10 mi),Cálida (60-80°F)
USA,2007,April,Monday,Evening,Urban,Highway,Foggy,443.9654082345454,3,74,18-25,Male,0.0976205287327644,1,Moderate,1,0,2,2,3,44.69335545889247,1140.4293077850557,Snow-covered,Distracted Driving,0,15801.190075812112,61948.862751173176,Australia,1840.206143120973,Bogotá,Lluvia Fuerte,85.02936868637548,8.151762750645549,Media (5-10 mi),Muy Cálida (>80°F)
