id,severity,start_time,end_time,location,city,state,zipcode,country,weather_condition,temperature_f,visibility_mi,precipitation_in,traffic_signal,crossing,junction,stop,railway,created_at
1,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
2,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
3,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
4,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
5,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
6,,,,,,,,India,,,,,,,,,,2025-11-03 21:06:44
7,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
8,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
9,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
10,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
11,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
12,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
13,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
14,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
15,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
16,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
17,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
18,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
19,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
20,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
21,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
22,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
23,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
24,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
25,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
26,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
27,,,,,,,,UK,,,,,,,,,,2025-11-03 21:06:44
28,,,,,,,,Russia,,,,,,,,,,2025-11-03 21:06:44
29,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
30,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
31,,,,,,,,USA,,,,,,,,,,2025-11-03 21:06:44
32,,,,,,,,Germany,,,,,,,,,,2025-11-03 21:06:44
33,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
34,,,,,,,,India,,,,,,,,,,2025-11-03 21:06:44
35,,,,,,,,Japan,,,,,,,,,,2025-11-03 21:06:44
36,,,,,,,,China,,,,,,,,,,2025-11-03 21:06:44
37,,,,,,,,Canada,,,,,,,,,,2025-11-03 21:06:44
38,,,,,,,,Brazil,,,,,,,,,,2025-11-03 21:06:44
39,,,,,,,,India,,,,,,,,,,2025-11-03 21:06:44
